"product","region","region_type","name","member","format","formats","driver","layer","geom_type","feature_count","n_fields","crs","extent","error","url","dsn"
"LIST_TASWATER_SW_PRES_MAIN","FLINDERS","lga","LIST_TASWATER_SW_PRES_MAIN_FLINDERS.zip","municipality_flinders.gdb","gdb","gdb;shp;tab","OpenFileGDB","municipality_flinders","MultiPolygon",1,11,"EPSG:28355","446510.347 5505512.814 625727.885 5661928.533","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_FLINDERS.zip",""
"LIST_TASWATER_SW_PRES_MAIN","FLINDERS","lga","LIST_TASWATER_SW_PRES_MAIN_FLINDERS.zip","","shp","gdb;shp;tab","ESRI Shapefile","list_taswater_sw_pres_main_flinders","LineString",0,10,"EPSG:28355","0 0 -1 -1","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_FLINDERS.zip",""
"LIST_TASWATER_SW_PRES_MAIN","FLINDERS","lga","LIST_TASWATER_SW_PRES_MAIN_FLINDERS.zip","","shp","gdb;shp;tab","ESRI Shapefile","municipality_flinders","Polygon",1,9,"EPSG:28355","446510.347 5505512.814 625727.885 5661928.533","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_FLINDERS.zip",""
"LIST_TASWATER_SW_PRES_MAIN","GEORGE_TOWN","lga","LIST_TASWATER_SW_PRES_MAIN_GEORGE_TOWN.zip","list_taswater_sw_pres_main_george_town.gdb","gdb","gdb;shp;tab","OpenFileGDB","list_taswater_sw_pres_main_george_town","MultiLineString",0,10,"EPSG:28355","","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_GEORGE_TOWN.zip",""
"LIST_TASWATER_SW_PRES_MAIN","GEORGE_TOWN","lga","LIST_TASWATER_SW_PRES_MAIN_GEORGE_TOWN.zip","municipality_george_town.gdb","gdb","gdb;shp;tab","OpenFileGDB","municipality_george_town","MultiPolygon",1,11,"EPSG:28355","481956.767 5432414.712 520925.169 5467731.712","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_GEORGE_TOWN.zip",""
"LIST_TASWATER_SW_PRES_MAIN","GEORGE_TOWN","lga","LIST_TASWATER_SW_PRES_MAIN_GEORGE_TOWN.zip","","shp","gdb;shp;tab","ESRI Shapefile","list_taswater_sw_pres_main_george_town","LineString",0,10,"EPSG:28355","0 0 -1 -1","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_GEORGE_TOWN.zip",""
"LIST_TASWATER_SW_PRES_MAIN","GEORGE_TOWN","lga","LIST_TASWATER_SW_PRES_MAIN_GEORGE_TOWN.zip","","shp","gdb;shp;tab","ESRI Shapefile","municipality_george_town","Polygon",1,9,"EPSG:28355","481956.767 5432414.712 520925.169 5467731.712","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_GEORGE_TOWN.zip",""
"LIST_TASWATER_SW_PRES_MAIN","GLAMORGAN_SPRING_BAY","lga","LIST_TASWATER_SW_PRES_MAIN_GLAMORGAN_SPRING_BAY.zip","list_taswater_sw_pres_main_glamorgan_spring_bay.gdb","gdb","gdb;shp;tab","OpenFileGDB","list_taswater_sw_pres_main_glamorgan_spring_bay","MultiLineString",0,10,"EPSG:28355","","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_GLAMORGAN_SPRING_BAY.zip",""
"LIST_TASWATER_SW_PRES_MAIN","GLAMORGAN_SPRING_BAY","lga","LIST_TASWATER_SW_PRES_MAIN_GLAMORGAN_SPRING_BAY.zip","municipality_glamorgan_spring_bay.gdb","gdb","gdb;shp;tab","OpenFileGDB","municipality_glamorgan_spring_bay","MultiPolygon",1,11,"EPSG:28355","547137.822 5266953.961 612366.306 5370099.443","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_GLAMORGAN_SPRING_BAY.zip",""
"LIST_TASWATER_SW_PRES_MAIN","GLAMORGAN_SPRING_BAY","lga","LIST_TASWATER_SW_PRES_MAIN_GLAMORGAN_SPRING_BAY.zip","","shp","gdb;shp;tab","ESRI Shapefile","list_taswater_sw_pres_main_glamorgan_spring_bay","LineString",0,10,"EPSG:28355","0 0 -1 -1","","https://listdata.thelist.tas.gov.au/opendata/data/LIST_TASWATER_SW_PRES_MAIN_GLAMORGAN_SPRING_BAY.zip",""
